countryName,ladderScore,GDP,socialSupport,healthyLifeExpectancy,lifeChoices,generosity,perceptionsofCorruption,dystopia
Myanmar,4.321,0.975,1.144,0.446,0.569,0.322,0.163,0.702
Togo,4.315,0.757,0.736,0.378,0.576,0.097,0.153,1.618
Jordan,4.310,1.158,1.202,0.573,0.700,0.051,0.164,0.461
Liberia,4.277,0.582,0.888,0.324,0.653,0.143,0.068,1.618
Madagascar,4.157,0.588,0.938,0.341,0.292,0.131,0.118,1.751
Zambia,3.912,0.848,1.013,0.233,0.872,0.131,0.107,0.709
Ethiopia,3.898,0.757,1.051,0.416,0.540,0.182,0.100,0.852
Sri Lanka,3.891,1.271,1.308,0.567,0.696,0.121,0.025,-0.099
Bangladesh,3.851,1.116,0.286,0.592,0.920,0.110,0.132,0.695
Egypt,3.817,1.347,1.075,0.473,0.593,0.018,0.103,0.210
Tanzania,3.800,0.847,0.908,0.411,0.858,0.153,0.243,0.380
Eswatini,3.774,1.183,1.152,0.038,0.428,0.054,0.130,0.790
Lesotho,3.757,0.737,1.131,0.000,0.606,0.065,0.072,1.145
Comoros,3.754,0.835,0.501,0.428,0.260,0.117,0.164,1.450
Yemen,3.561,0.631,1.482,0.375,0.447,0.066,0.106,0.454
DR Congo,3.469,0.544,0.929,0.278,0.600,0.151,0.061,0.906
Botswana,3.438,1.388,1.146,0.094,0.697,0.018,0.083,0.012
Zimbabwe,3.396,0.827,0.961,0.178,0.598,0.065,0.131,0.636
Malawi,3.260,0.588,0.489,0.280,0.677,0.115,0.136,0.975
Lebanon,3.188,1.223,0.984,0.440,0.279,0.071,0.041,0.150
Sierra Leone,2.998,0.786,0.692,0.327,0.613,0.138,0.052,0.391
Afghanistan,1.364,0.649,0.000,0.155,0.000,0.075,0.135,0.348
